"tag_id","ts_origin","ts","value_ts"
PowerBi.COU1CF001CU,2025-05-31 23:58:35.000,2025-06-01 01:58:35.000,"18.08546"
PowerBi.COU1-RCT-CU,2025-06-01 00:05:35.000,2025-06-01 02:05:35.000,"81.05861"
PowerBi.COU1CD2001CU,2025-06-01 00:05:35.000,2025-06-01 02:05:35.000,"0.465671"
PowerBi.COU1CF001CU,2025-06-01 00:08:34.000,2025-06-01 02:08:34.000,"18.38199"
PowerBi.COU1-RCT-CU,2025-06-01 00:09:35.000,2025-06-01 02:09:35.000,"81.05207"
PowerBi.COU1-RCT-CU,2025-06-01 00:17:35.000,2025-06-01 02:17:35.000,"81.62045"
PowerBi.COU1CD2001CU,2025-06-01 00:17:35.000,2025-06-01 02:17:35.000,"0.4796956"
PowerBi.COU1-RCT-CU,2025-06-01 00:20:35.000,2025-06-01 02:20:35.000,"80.53451"
PowerBi.COU1RD001CU,2025-06-01 00:20:35.000,2025-06-01 02:20:35.000,"953.7966"
PowerBi.COU1-RCT-CU,2025-06-01 00:21:35.000,2025-06-01 02:21:35.000,"80.52429"
PowerBi.COU1CF001CU,2025-06-01 00:21:35.000,2025-06-01 02:21:35.000,"18.83975"
PowerBi.COU1CD2001CU,2025-06-01 00:29:34.000,2025-06-01 02:29:34.000,"0.4865271"
PowerBi.COU1-RCT-CU,2025-06-01 00:29:35.000,2025-06-01 02:29:35.000,"80.8049"
PowerBi.COU1-RCT-CU,2025-06-01 00:32:34.000,2025-06-01 02:32:34.000,"78.92672"
PowerBi.COU1RD001CU,2025-06-01 00:32:35.000,2025-06-01 02:32:35.000,"1046.604"
PowerBi.COU1CF001CU,2025-06-01 00:33:34.000,2025-06-01 02:33:34.000,"19.33428"
PowerBi.COU1CF001CU,2025-06-01 00:33:34.000,2025-06-01 02:33:34.000,"19.33428"
PowerBi.COU1-RCT-CU,2025-06-01 00:34:35.000,2025-06-01 02:34:35.000,"78.91544"
PowerBi.COU1CD2001CU,2025-06-01 00:42:34.000,2025-06-01 02:42:34.000,"0.4858337"
PowerBi.COU1CD2001CU,2025-06-01 00:42:34.000,2025-06-01 02:42:34.000,"0.4858337"
PowerBi.COU1-RCT-CU,2025-06-01 00:42:35.000,2025-06-01 02:42:35.000,"78.88458"
PowerBi.COU1RD001CU,2025-06-01 00:45:34.000,2025-06-01 02:45:34.000,"1056.592"
PowerBi.COU1RD001CU,2025-06-01 00:45:34.000,2025-06-01 02:45:34.000,"1056.592"
PowerBi.COU1-RCT-CU,2025-06-01 00:45:35.000,2025-06-01 02:45:35.000,"78.68198"
PowerBi.COU1-RCT-CU,2025-06-01 00:45:35.000,2025-06-01 02:45:35.000,"78.68198"
PowerBi.COU1-RCT-CU,2025-06-01 00:46:34.000,2025-06-01 02:46:34.000,"78.67463"
PowerBi.COU1CF001CU,2025-06-01 00:46:34.000,2025-06-01 02:46:34.000,"19.6689"
PowerBi.COU1-RCT-CU,2025-06-01 00:54:34.000,2025-06-01 02:54:34.000,"77.91886"
PowerBi.COU1CD2001CU,2025-06-01 00:54:35.000,2025-06-01 02:54:35.000,"0.4696022"
PowerBi.COU1-RCT-CU,2025-06-01 00:57:35.000,2025-06-01 02:57:35.000,"77.34175"
PowerBi.COU1RD001CU,2025-06-01 00:57:35.000,2025-06-01 02:57:35.000,"1084.054"
PowerBi.COU1-RCT-CU,2025-06-01 00:59:35.000,2025-06-01 02:59:35.000,"77.33959"
PowerBi.COU1CF001CU,2025-06-01 00:59:35.000,2025-06-01 02:59:35.000,"19.76859"
PowerBi.COU1-RCT-CU,2025-06-01 01:07:34.000,2025-06-01 03:07:34.000,"76.92195"
PowerBi.COU1CD2001CU,2025-06-01 01:07:35.000,2025-06-01 03:07:35.000,"0.4613024"
PowerBi.COU1-RCT-CU,2025-06-01 01:10:34.000,2025-06-01 03:10:34.000,"76.94429"
PowerBi.COU1RD001CU,2025-06-01 01:10:35.000,2025-06-01 03:10:35.000,"1083.011"
PowerBi.COU1-RCT-CU,2025-06-01 01:11:35.000,2025-06-01 03:11:35.000,"76.95469"
PowerBi.COU1CF001CU,2025-06-01 01:11:35.000,2025-06-01 03:11:35.000,"19.29534"
PowerBi.COU1-RCT-CU,2025-06-01 01:19:35.000,2025-06-01 03:19:35.000,"75.95708"
PowerBi.COU1CD2001CU,2025-06-01 01:19:35.000,2025-06-01 03:19:35.000,"0.4426007"
PowerBi.COU1RD001CU,2025-06-01 01:21:35.000,2025-06-01 03:21:35.000,"1041.547"
PowerBi.COU1-RCT-CU,2025-06-01 01:22:34.000,2025-06-01 03:22:34.000,"76.88259"
PowerBi.COU1-RCT-CU,2025-06-01 01:23:34.000,2025-06-01 03:23:34.000,"76.89871"
PowerBi.COU1CF001CU,2025-06-01 01:23:34.000,2025-06-01 03:23:34.000,"18.57749"
PowerBi.COU1-RCT-CU,2025-06-01 01:30:34.000,2025-06-01 03:30:34.000,"77.48602"
PowerBi.COU1CD2001CU,2025-06-01 01:30:35.000,2025-06-01 03:30:35.000,"0.4538647"
PowerBi.COU1-RCT-CU,2025-06-01 01:33:35.000,2025-06-01 03:33:35.000,"77.1253"
PowerBi.COU1RD001CU,2025-06-01 01:33:35.000,2025-06-01 03:33:35.000,"1058.14"
PowerBi.COU1-RCT-CU,2025-06-01 01:34:35.000,2025-06-01 03:34:35.000,"77.13984"
PowerBi.COU1CF001CU,2025-06-01 01:34:35.000,2025-06-01 03:34:35.000,"17.98583"
PowerBi.COU1CD2001CU,2025-06-01 01:41:34.000,2025-06-01 03:41:34.000,"0.4274226"
PowerBi.COU1-RCT-CU,2025-06-01 01:41:35.000,2025-06-01 03:41:35.000,"75.68901"
PowerBi.COU1-RCT-CU,2025-06-01 01:44:34.000,2025-06-01 03:44:34.000,"76.33944"
PowerBi.COU1RD001CU,2025-06-01 01:44:34.000,2025-06-01 03:44:34.000,"1029.991"
PowerBi.COU1-RCT-CU,2025-06-01 01:47:35.000,2025-06-01 03:47:35.000,"76.35363"
PowerBi.COU1CF001CU,2025-06-01 01:47:35.000,2025-06-01 03:47:35.000,"17.42384"
PowerBi.COU1-RCT-CU,2025-06-01 01:56:35.000,2025-06-01 03:56:35.000,"76.08261"
PowerBi.COU1CD2001CU,2025-06-01 01:56:35.000,2025-06-01 03:56:35.000,"0.4226967"
PowerBi.COU1RD001CU,2025-06-01 01:59:34.000,2025-06-01 03:59:34.000,"1063.396"
PowerBi.COU1-RCT-CU,2025-06-01 01:59:35.000,2025-06-01 03:59:35.000,"75.30215"
PowerBi.COU1CF001CU,2025-06-01 02:00:34.000,2025-06-01 04:00:34.000,"17.02614"
PowerBi.COU1-RCT-CU,2025-06-01 02:01:34.000,2025-06-01 04:01:34.000,"75.31296"
PowerBi.COU1-RCT-CU,2025-06-01 02:08:34.000,2025-06-01 04:08:34.000,"74.69383"
PowerBi.COU1CD2001CU,2025-06-01 02:08:35.000,2025-06-01 04:08:35.000,"0.4126059"
PowerBi.COU1-RCT-CU,2025-06-01 02:11:35.000,2025-06-01 04:11:35.000,"75.18851"
PowerBi.COU1RD001CU,2025-06-01 02:11:35.000,2025-06-01 04:11:35.000,"1042.737"
PowerBi.COU1-RCT-CU,2025-06-01 02:13:35.000,2025-06-01 04:13:35.000,"75.1853"
PowerBi.COU1CF001CU,2025-06-01 02:13:35.000,2025-06-01 04:13:35.000,"17.14502"
PowerBi.COU1-RCT-CU,2025-06-01 02:21:34.000,2025-06-01 04:21:34.000,"74.54696"
PowerBi.COU1CD2001CU,2025-06-01 02:21:35.000,2025-06-01 04:21:35.000,"0.402501"
PowerBi.COU1-RCT-CU,2025-06-01 02:23:34.000,2025-06-01 04:23:34.000,"75.87315"
PowerBi.COU1RD001CU,2025-06-01 02:23:35.000,2025-06-01 04:23:35.000,"988.7193"
PowerBi.COU1-RCT-CU,2025-06-01 02:25:35.000,2025-06-01 04:25:35.000,"75.87431"
PowerBi.COU1CF001CU,2025-06-01 02:25:35.000,2025-06-01 04:25:35.000,"17.09975"
PowerBi.COU1-RCT-CU,2025-06-01 02:33:35.000,2025-06-01 04:33:35.000,"74.72121"
PowerBi.COU1CD2001CU,2025-06-01 02:33:35.000,2025-06-01 04:33:35.000,"0.3845537"
PowerBi.COU1RD001CU,2025-06-01 02:35:35.000,2025-06-01 04:35:35.000,"931.2328"
PowerBi.COU1-RCT-CU,2025-06-01 02:36:35.000,2025-06-01 04:36:35.000,"76.19903"
PowerBi.COU1-RCT-CU,2025-06-01 02:37:34.000,2025-06-01 04:37:34.000,"76.20732"
PowerBi.COU1CF001CU,2025-06-01 02:37:34.000,2025-06-01 04:37:34.000,"16.7667"
PowerBi.COU1-RCT-CU,2025-06-01 02:45:35.000,2025-06-01 04:45:35.000,"77.71447"
PowerBi.COU1CD2001CU,2025-06-01 02:45:35.000,2025-06-01 04:45:35.000,"0.4099249"
PowerBi.COU1-RCT-CU,2025-06-01 02:48:34.000,2025-06-01 04:48:34.000,"78.01649"
PowerBi.COU1RD001CU,2025-06-01 02:48:35.000,2025-06-01 04:48:35.000,"918.6818"
PowerBi.COU1-RCT-CU,2025-06-01 02:49:35.000,2025-06-01 04:49:35.000,"78.00698"
PowerBi.COU1CF001CU,2025-06-01 02:49:35.000,2025-06-01 04:49:35.000,"17.1459"
PowerBi.COU1CD2001CU,2025-06-01 02:57:34.000,2025-06-01 04:57:34.000,"0.3961798"
PowerBi.COU1-RCT-CU,2025-06-01 02:57:35.000,2025-06-01 04:57:35.000,"77.22527"
PowerBi.COU1-RCT-CU,2025-06-01 03:00:34.000,2025-06-01 05:00:34.000,"77.18855"
PowerBi.COU1RD001CU,2025-06-01 03:00:34.000,2025-06-01 05:00:34.000,"920.1552"
PowerBi.COU1-RCT-CU,2025-06-01 03:01:35.000,2025-06-01 05:01:35.000,"77.18796"
PowerBi.COU1CF001CU,2025-06-01 03:01:35.000,2025-06-01 05:01:35.000,"17.17057"
PowerBi.COU1CD2001CU,2025-06-01 03:09:34.000,2025-06-01 05:09:34.000,"0.4116363"
PowerBi.COU1-RCT-CU,2025-06-01 03:09:35.000,2025-06-01 05:09:35.000,"78.06474"
PowerBi.COU1-RCT-CU,2025-06-01 03:12:35.000,2025-06-01 05:12:35.000,"78.08481"
PowerBi.COU1RD001CU,2025-06-01 03:12:35.000,2025-06-01 05:12:35.000,"919.3179"
PowerBi.COU1-RCT-CU,2025-06-01 03:13:34.000,2025-06-01 05:13:34.000,"78.0767"
PowerBi.COU1CF001CU,2025-06-01 03:13:34.000,2025-06-01 05:13:34.000,"17.5085"
PowerBi.COU1-RCT-CU,2025-06-01 03:21:34.000,2025-06-01 05:21:34.000,"78.25359"
PowerBi.COU1CD2001CU,2025-06-01 03:21:35.000,2025-06-01 05:21:35.000,"0.4149055"
PowerBi.COU1-RCT-CU,2025-06-01 03:24:35.000,2025-06-01 05:24:35.000,"77.68262"
PowerBi.COU1RD001CU,2025-06-01 03:24:35.000,2025-06-01 05:24:35.000,"943.3257"
PowerBi.COU1-RCT-CU,2025-06-01 03:25:35.000,2025-06-01 05:25:35.000,"79.93301"
PowerBi.COU1CF001CU,2025-06-01 03:25:35.000,2025-06-01 05:25:35.000,"18.01571"
PowerBi.COU1-RCT-CU,2025-06-01 03:26:35.000,2025-06-01 05:26:35.000,"77.67077"
PowerBi.COU1-RCT-CU,2025-06-01 03:34:35.000,2025-06-01 05:34:35.000,"78.77689"
PowerBi.COU1CD2001CU,2025-06-01 03:34:35.000,2025-06-01 05:34:35.000,"0.4360063"
PowerBi.COU1RD001CU,2025-06-01 03:36:35.000,2025-06-01 05:36:35.000,"911.2815"
PowerBi.COU1-RCT-CU,2025-06-01 03:37:34.000,2025-06-01 05:37:34.000,"79.5015"
PowerBi.COU1-RCT-CU,2025-06-01 03:38:34.000,2025-06-01 05:38:34.000,"79.4986"
PowerBi.COU1CF001CU,2025-06-01 03:38:34.000,2025-06-01 05:38:34.000,"18.14546"
PowerBi.COU1-RCT-CU,2025-06-01 03:46:35.000,2025-06-01 05:46:35.000,"79.91743"
PowerBi.COU1CD2001CU,2025-06-01 03:46:35.000,2025-06-01 05:46:35.000,"0.4448766"
