"tag_id","ts_origin","ts","value_ts"
PowerBi.COU1CD2001CU,2025-07-01 08:50:49.000,2025-07-01 10:50:49.000,"0.3780721"
PowerBi.COU1-RCT-CU,2025-07-01 08:50:49.000,2025-07-01 10:50:49.000,"66.68169"
PowerBi.COU1CD2001CU,2025-07-01 08:50:49.000,2025-07-01 10:50:49.000,"0.3780721"
PowerBi.COU1-RCT-CU,2025-07-01 08:50:49.000,2025-07-01 10:50:49.000,"66.68169"
PowerBi.COU1RD001CU,2025-07-01 08:53:49.000,2025-07-01 10:53:49.000,"1264.292"
PowerBi.COU1-RCT-CU,2025-07-01 08:53:49.000,2025-07-01 10:53:49.000,"67.05296"
PowerBi.COU1RD001CU,2025-07-01 08:53:49.000,2025-07-01 10:53:49.000,"1264.292"
PowerBi.COU1-RCT-CU,2025-07-01 08:53:49.000,2025-07-01 10:53:49.000,"67.05296"
PowerBi.COU1CF001CU,2025-07-01 08:54:49.000,2025-07-01 10:54:49.000,"17.52232"
PowerBi.COU1-RCT-CU,2025-07-01 08:54:49.000,2025-07-01 10:54:49.000,"67.04325"
PowerBi.COU1CF001CU,2025-07-01 08:54:49.000,2025-07-01 10:54:49.000,"17.52232"
PowerBi.COU1-RCT-CU,2025-07-01 08:54:49.000,2025-07-01 10:54:49.000,"67.04325"
PowerBi.COU1CD2001CU,2025-07-01 09:03:49.000,2025-07-01 11:03:49.000,"0.3549959"
PowerBi.COU1-RCT-CU,2025-07-01 09:03:49.000,2025-07-01 11:03:49.000,"64.85368"
PowerBi.COU1CD2001CU,2025-07-01 09:03:49.000,2025-07-01 11:03:49.000,"0.3549959"
PowerBi.COU1-RCT-CU,2025-07-01 09:03:49.000,2025-07-01 11:03:49.000,"64.85368"
PowerBi.COU1RD001CU,2025-07-01 09:06:49.000,2025-07-01 11:06:49.000,"1259.37"
PowerBi.COU1-RCT-CU,2025-07-01 09:06:49.000,2025-07-01 11:06:49.000,"64.99147"
PowerBi.COU1RD001CU,2025-07-01 09:06:49.000,2025-07-01 11:06:49.000,"1259.37"
PowerBi.COU1-RCT-CU,2025-07-01 09:06:49.000,2025-07-01 11:06:49.000,"64.99147"
PowerBi.COU1CF001CU,2025-07-01 09:07:49.000,2025-07-01 11:07:49.000,"18.6734"
PowerBi.COU1-RCT-CU,2025-07-01 09:07:49.000,2025-07-01 11:07:49.000,"64.96249"
PowerBi.COU1CF001CU,2025-07-01 09:07:49.000,2025-07-01 11:07:49.000,"18.6734"
PowerBi.COU1-RCT-CU,2025-07-01 09:07:49.000,2025-07-01 11:07:49.000,"64.96249"
PowerBi.COU1CD2001CU,2025-07-01 09:15:49.000,2025-07-01 11:15:49.000,"0.3732942"
PowerBi.COU1-RCT-CU,2025-07-01 09:15:49.000,2025-07-01 11:15:49.000,"66.71326"
PowerBi.COU1CD2001CU,2025-07-01 09:15:49.000,2025-07-01 11:15:49.000,"0.3732942"
PowerBi.COU1-RCT-CU,2025-07-01 09:15:49.000,2025-07-01 11:15:49.000,"66.71326"
PowerBi.COU1RD001CU,2025-07-01 09:18:48.000,2025-07-01 11:18:48.000,"1300.98"
PowerBi.COU1RD001CU,2025-07-01 09:18:48.000,2025-07-01 11:18:48.000,"1300.98"
PowerBi.COU1-RCT-CU,2025-07-01 09:18:49.000,2025-07-01 11:18:49.000,"65.60575"
PowerBi.COU1-RCT-CU,2025-07-01 09:18:49.000,2025-07-01 11:18:49.000,"65.60575"
PowerBi.COU1CF001CU,2025-07-01 09:19:49.000,2025-07-01 11:19:49.000,"18.61002"
PowerBi.COU1-RCT-CU,2025-07-01 09:19:49.000,2025-07-01 11:19:49.000,"65.60732"
PowerBi.COU1CF001CU,2025-07-01 09:19:49.000,2025-07-01 11:19:49.000,"18.61002"
PowerBi.COU1-RCT-CU,2025-07-01 09:19:49.000,2025-07-01 11:19:49.000,"65.60732"
PowerBi.COU1CD2001CU,2025-07-01 09:42:48.000,2025-07-01 11:42:48.000,"0.3551982"
PowerBi.COU1CD2001CU,2025-07-01 09:42:48.000,2025-07-01 11:42:48.000,"0.3551982"
PowerBi.COU1-RCT-CU,2025-07-01 09:42:49.000,2025-07-01 11:42:49.000,"63.81927"
PowerBi.COU1-RCT-CU,2025-07-01 09:42:49.000,2025-07-01 11:42:49.000,"63.81927"
PowerBi.COU1CD2001CU,2025-07-01 09:45:48.000,2025-07-01 11:45:48.000,"0.3374028"
PowerBi.COU1CD2001CU,2025-07-01 09:45:48.000,2025-07-01 11:45:48.000,"0.3374028"
PowerBi.COU1-RCT-CU,2025-07-01 09:45:49.000,2025-07-01 11:45:49.000,"61.87389"
PowerBi.COU1-RCT-CU,2025-07-01 09:45:49.000,2025-07-01 11:45:49.000,"61.87389"
PowerBi.COU1CF001CU,2025-07-01 09:46:48.000,2025-07-01 11:46:48.000,"16.68254"
PowerBi.COU1-RCT-CU,2025-07-01 09:46:48.000,2025-07-01 11:46:48.000,"61.92426"
PowerBi.COU1CF001CU,2025-07-01 09:46:48.000,2025-07-01 11:46:48.000,"16.68254"
PowerBi.COU1-RCT-CU,2025-07-01 09:46:48.000,2025-07-01 11:46:48.000,"61.92426"
PowerBi.COU1RD001CU,2025-07-01 09:48:49.000,2025-07-01 11:48:49.000,-1000
PowerBi.COU1-RCT-CU,2025-07-01 09:48:49.000,2025-07-01 11:48:49.000,"128.8657"
PowerBi.COU1RD001CU,2025-07-01 09:48:49.000,2025-07-01 11:48:49.000,-1000
PowerBi.COU1-RCT-CU,2025-07-01 09:48:49.000,2025-07-01 11:48:49.000,"128.8657"
PowerBi.COU1RD001CU,2025-07-01 09:49:48.000,2025-07-01 11:49:48.000,"1317.59"
PowerBi.COU1RD001CU,2025-07-01 09:49:48.000,2025-07-01 11:49:48.000,"1317.59"
PowerBi.COU1-RCT-CU,2025-07-01 09:49:49.000,2025-07-01 11:49:49.000,"61.43427"
PowerBi.COU1-RCT-CU,2025-07-01 09:49:49.000,2025-07-01 11:49:49.000,"61.43427"
